"id","epic","phase","size","title","description","deps","files","acceptance","verify","notes","labels"
"P1-101","EPIC-P1-DB","","S","Таблица users","Создать таблицу users в schema.ts: id (uuid), tg_id (bigint unique), tg_username, tg_first_name, created_at, premium_until, power_score (default 0). Сгенерировать и применить миграцию.","P0-005","backend/src/db/schema/users.ts | backend/src/db/migrations/0001_users.sql (auto-generated)","Таблица users создана со всеми полями | Индекс по tg_id (unique) | Миграция в backend/src/db/migrations/","`\d users` в psql показывает все поля","Использовать drizzle pgTable. Импортировать в src/db/schema.ts.",""
"P1-102","EPIC-P1-DB","","S","Каталог ресурсов: таблица resources + сидер","Таблица resources: id (slug, primary key), name (json: ru/en), tier (1-4), symbol, base_regen_rate, default_storage_cap. Сидер заполняет 13 ресурсов (см. addendum + GDD).","P1-101","backend/src/db/schema/resources.ts | backend/src/db/seed/resources.ts","Таблица resources заполнена 13 записями: water, iron, carbon, silicon, methane, copper, aluminum, titanium, ice, mercury, magnesium, lead, tritium | `npm run db:seed` идемпотентен (можно запускать повторно) | Каждая запись имеет ru/en название","`SELECT count(*) FROM resources` → 13","Tritium — новый ресурс (см. addendum §3.6). Tier 3 минор, нужен для прыжкового топлива.",""
"P1-103","EPIC-P1-DB","","M","Планеты, planet_resources, richness","Таблицы: systems (id, owner_id nullable, is_home, sector_x/y/z, name, seed), planets (id, system_id, biome, size, slot_count, name), planet_resources (planet_id, resource_id, amount, last_update_at, regen_rate), richness (planet_id, resource_id, value 0..5).","P1-102","backend/src/db/schema/world.ts | backend/src/db/migrations/...sql","Все 4 таблицы созданы | Внешние ключи: planets.system_id → systems.id, planet_resources/richness → planets/resources | Индексы: planets.system_id, planet_resources(planet_id, resource_id) unique","Миграция применена, `\d planets` показывает поля","is_home_system флаг будет использоваться для блокировки чужих обращений к домашней системе.",""
"P1-104","EPIC-P1-DB","","M","building_types (catalog) + buildings (instances)","building_types: id (slug), name (json), category, max_level, deps (jsonb массив зависимостей), base_cost (jsonb), base_time_sec, base_output (jsonb), energy_consumption.
buildings: id, planet_id, type_id, level, queue_action (build|upgrade|null), queue_completes_at.
Сидер заполняет 10 базовых типов из GDD §5.","P1-103","backend/src/db/schema/buildings.ts | backend/src/db/seed/building-types.ts","Таблицы созданы | Сидер заполняет building_types: command_center, mine, drill, storage, smelter, spaceport, shipyard, lab, cryo_factory, solar_plant | Стоимости и времена соответствуют GDD","`SELECT slug FROM building_types ORDER BY slug` → 10 строк","cryo_factory — новое здание из addendum (для лёд⇄вода).",""
"P1-105","EPIC-P1-DB","","M","ship_types + ships","ship_types: id (slug), name, role, hp, speed, cargo, dps, armor, fuel_consumption, build_time_sec, build_cost (jsonb), required_buildings, sensor_range.
ships: id, owner_id, type_id, location_planet_id (nullable), status (idle|moving|building), cargo_json, fuel.
Сидер заполняет 5 типов: scout, cargo_light, colonizer, recon_probe, jump_ship.","P1-103","backend/src/db/schema/ships.ts | backend/src/db/seed/ship-types.ts","Таблицы созданы | Сидер: 5 ship_types (Scout, Cargo Light, Colonizer, Recon Probe, Jump Ship) | Поле sensor_range заполнено (Scout=30, Recon=60, Cargo=8 и т.д.)","`SELECT slug, sensor_range FROM ship_types`","Jump Ship — новый тип из addendum, требует Engines lvl 3 + Jump Drive.",""
"P1-106","EPIC-P1-DB","","S","research, research_progress","research_branches (catalog: mining, engineering, engines, weapons, sensors, logistics, jump_drive). research_progress (user_id, branch, level, completes_at).","P1-101","backend/src/db/schema/research.ts | backend/src/db/seed/research-branches.ts","Таблицы созданы | Сидер заполняет 7 веток (включая jump_drive из addendum)","`SELECT * FROM research_branches`","—",""
"P1-107","EPIC-P1-DB","","M","expeditions","expeditions: id, ship_id, type (scout|cargo|colonize|jump), origin_planet_id, target_x/y/z, target_planet_id (nullable), status (queued|in_flight|arrived|returning|completed|failed), eta, returned_at, result (jsonb).","P1-105","backend/src/db/schema/expeditions.ts","Таблица создана | Индексы по eta + status (для быстрого poll-а воркером)","Миграция применена","—",""
"P1-108","EPIC-P1-DB","","S","discovered_planets, discovered_systems (per-player)","Таблицы для per-player видимости (см. addendum §3.4). discovered_planets (user_id, planet_id, discovered_at). discovered_systems (user_id, system_id, discovered_at). Уникальный индекс (user_id, planet_id) / (user_id, system_id).","P1-103","backend/src/db/schema/discovery.ts","Таблицы созданы | Индексы корректные","Миграция применена","Все API, возвращающие планеты/системы, должны фильтровать через JOIN с этими таблицами.",""
"P1-120","EPIC-P1-AUTH","","M","Telegram initData валидация","Middleware, проверяющий заголовок X-Telegram-Init-Data: HMAC по boilerplate Telegram. Парсит user_id, username из строки. Если валидно — кладёт в request.user.","P0-008","backend/src/middleware/telegram-auth.ts | backend/src/lib/telegram.ts | backend/src/middleware/telegram-auth.test.ts","Корректный initData (от реального Telegram) → middleware пропускает | Истёкший initData (auth_date > 1 час) → 401 | Подделанный hash → 401 | Без заголовка → 401","Unit-тест проходит","Использовать алгоритм из официальной документации: https://core.telegram.org/bots/webapps#validating-data-received-via-the-mini-app",""
"P1-121","EPIC-P1-AUTH","","M","POST /auth/telegram → создание/получение пользователя","Эндпоинт принимает валидированный initData (через middleware). Если user с tg_id не существует — создаёт + триггерит P1-141 (генерация Home System). Возвращает JWT-сессию (httpOnly cookie + body).","P1-120 | P1-141","backend/src/features/auth/routes.ts | backend/src/features/auth/service.ts | backend/src/features/auth/auth.test.ts","Первый запрос с новым tg_id → создаёт user + home system | Второй запрос с тем же tg_id → возвращает existing user | Возвращает session token, который можно использовать в Authorization header","curl с тестовым initData → возвращает 200 + token","JWT secret из .env. Срок жизни 30 дней.",""
"P1-122","EPIC-P1-AUTH","","S","GET /me → состояние игрока","Возвращает: текущий user, домашняя система, открытые планеты, корабли, очереди стройки, ресурсы (с актуальным lazy-compute), исследования.","P1-121 | P1-141","backend/src/features/me/routes.ts | backend/src/features/me/service.ts","Без авторизации → 401 | С авторизацией → 200 с полным state в JSON | Время ответа ≤ 200 мс при нормальной нагрузке","Интеграционный тест: создать user → GET /me → видеть Home System","Это основной ""single source of truth"" для frontend. Должен возвращать минимально необходимое.",""
"P1-141","EPIC-P1-WORLD","","L","Генерация Home System","Сервис generateHomeSystem(userId): создаёт систему + 4-7 планет с детерминированным seed = hash(userId, server_secret). Гарантирует, что 1 планета имеет все 5 базовых ресурсов, 1 планета содержит Tritium с низким richness. Все планеты НЕ открыты (discovered_planets — пусто, кроме стартовой).","P1-103 | P1-102","backend/src/features/world/home-system-generator.ts | backend/src/features/world/biomes.ts | backend/src/features/world/home-system-generator.test.ts","Вызов с одним userId всегда возвращает одну и ту же планетарную систему | 5 базовых ресурсов гарантированно присутствуют | 1 планета имеет Tritium с richness 0.3-0.8 | Стартовая планета (CommandCenter lvl 1) добавлена в discovered_planets | Tier 3 (кроме Tritium) и Tier 4 ресурсы ОТСУТСТВУЮТ в Home System","Unit-тест: дважды генерируем home system для userId=1 → результаты идентичны","Использовать seedrandom или собственный детерминированный PRNG. Биомы из GDD §4.2.",""
"P1-142","EPIC-P1-WORLD","","M","Sectors — структура общего пула","Таблица sectors: id (composite x,y,z), seed, generated_at, system_count. Сервис getOrCreateSector(x,y,z): возвращает существующий или создаёт пустой. Используется при первом обращении из jump.","P1-103","backend/src/db/schema/sectors.ts | backend/src/features/world/sectors.ts","getOrCreateSector(0,0,0) → создаёт запись если нет | Повторный вызов возвращает existing | Seed детерминированный","Unit-тест: getOrCreateSector(1,2,3) дважды → одна запись в БД","Размер сектора 500×500×500 (см. addendum §3.7).",""
"P1-143","EPIC-P1-WORLD","","L","Lazy generation систем в секторе","Сервис generateSystemsInSector(sector, target_count=5): создаёт недостающие системы рандомно в координатах сектора. Использует seed сектора. Не превышает 12 систем.","P1-142 | P1-141","backend/src/features/world/sector-generator.ts | backend/src/features/world/sector-generator.test.ts","Если в секторе уже 5 систем — ничего не делает | Если 0 — генерирует 5 систем | Координаты систем не пересекаются (мин. дистанция 50 ед) | Биомы планет в системах распределены по весам из GDD","Тест: для пустого сектора генерируется 5 систем; повторный вызов не добавляет","Системы в общем пуле — owner_id=null, is_home_system=false.",""
"P1-144","EPIC-P1-WORLD","","M","Visibility check service","Сервис checkVisibility(ship): берёт текущую позицию корабля, ищет невидимые игроку планеты/системы в радиусе ship.sensor_range. Если найдены — добавляет в discovered_planets/discovered_systems и возвращает массив новых открытий (для пушей).","P1-108 | P1-105","backend/src/features/world/visibility.ts | backend/src/features/world/visibility.test.ts","Если планета в радиусе и не открыта → попадает в discovered | Если уже открыта → не дублируется | Уважается home_system: чужой корабль не может ""увидеть"" чужую home system","Unit-тест: запустить корабль с sensor_range=30, поставить планету в 25 ед → она открывается","Радиус — евклидов. Используется в worker tick_expeditions.",""
"P1-150","EPIC-P1-RES","","M","Resource accrual: lazy compute on read","Сервис computeCurrentResources(planetId): для каждого resource — amount + rate × (now - last_update_at). Не пишет в БД, только возвращает значения. Учитывает cap склада (storage cap).","P1-103","backend/src/features/resources/accrual.ts | backend/src/features/resources/accrual.test.ts","Если last_update = now-3600s, rate=10/h → amount += 10 | Не превышает storage cap | Возвращает массив всех ресурсов планеты","Unit-тест с мок-временем","Это основной паттерн event-based симуляции. Описано в Stellar_Forge_GDD.docx §14.3.",""
"P1-151","EPIC-P1-RES","","M","Resource transactions: spend/gain (атомарно)","Сервис spendResources(planetId, costs[]) и gainResources(planetId, gains[]): транзакция, SELECT FOR UPDATE на planet_resources, обновляет last_update_at. Возвращает {success, balanceAfter} или {success:false, error:""not enough X""}.","P1-150","backend/src/features/resources/transactions.ts | backend/src/features/resources/transactions.test.ts","Параллельные вызовы не приводят к отрицательным значениям | Если не хватает ресурса — транзакция откатывается, ничего не списано | last_update_at синхронизируется со списанием","Stress-тест: 100 параллельных списаний → итоговый баланс корректный","КРИТИЧЕСКАЯ ВЕЩЬ. Любая ошибка тут = дюп ресурсов. Должно быть >=80% покрытие тестами.",""
"P1-152","EPIC-P1-RES","","M","POST /resources/convert — Лёд ⇄ Вода","Эндпоинт принимает {from: ""ice""|""water"", to, amount}. Проверяет наличие Cryogenic Factory или Smelter lvl 3+. Списывает ресурс, начисляет другой с учётом потерь (5% при воде→льду, 0% при льду→воде).","P1-151 | P1-160","backend/src/features/resources/convert.ts | backend/src/features/resources/convert.test.ts","Без Cryogenic Factory → 400 | С Cryo lvl 1 → конвертация работает | Лёд→Вода: 100 льда → 100 воды | Вода→Лёд: 100 воды → 95 льда | Энергия списывается","Integration-тест","См. addendum §2.1.",""
"P1-160","EPIC-P1-BLD","","M","POST /buildings/build — постройка нового здания","Принимает {planetId, typeSlug, slot}. Проверяет: планета принадлежит игроку, есть свободный слот, выполнены deps, хватает ресурсов. Списывает ресурсы, создаёт buildings запись с queue_completes_at = now + base_time, ставит BullMQ job.","P1-151 | P1-104","backend/src/features/buildings/routes.ts | backend/src/features/buildings/service.ts | backend/src/features/buildings/service.test.ts","Если не хватает ресурсов → 400 с деталями | Если слот занят → 400 | Если deps не выполнены → 400 | Успех → возвращает building с queue_completes_at | Очередь стройки лимитирована 1 (без премиума)","Integration-тест полного flow","Все формулы стоимости из Stellar_Forge_GDD.docx §5.2.",""
"P1-161","EPIC-P1-BLD","","M","POST /buildings/{id}/upgrade — апгрейд здания","Аналогично build, но для existing building. Стоимость = base_cost × 1.6^(level-1). Время = base_time × 1.5^(level-1).","P1-160","backend/src/features/buildings/upgrade.ts | backend/src/features/buildings/upgrade.test.ts","Не апгрейдит дальше max_level | Стоимость считается по формуле | queue_action = ""upgrade"", level не меняется до завершения","Integration-тест","—",""
"P1-162","EPIC-P1-BLD","","M","Worker: tick_buildings","BullMQ воркер, бежит каждые 30 секунд. Находит buildings, у которых queue_completes_at ≤ now. Применяет результат: для build — level=1, для upgrade — level+=1. Обновляет regen_rate ресурсов на этой планете (в planet_resources).","P1-161","backend/src/workers/tick-buildings.ts | backend/src/workers/tick-buildings.test.ts","Здание завершается ровно по таймеру (±30 сек) | Скорость добычи на планете обновляется (если это шахта) | Уведомление кладётся в notifications таблицу","Integration-тест: построить здание с base_time=10s, подождать → level=1","Использовать BullMQ repeat-job.",""
"P1-170","EPIC-P1-SHP","","M","POST /ships/build — постройка корабля","Принимает {planetId, typeSlug}. Проверяет: shipyard есть, deps выполнены, ресурсы хватает. Списывает, ставит в очередь верфи. Очередь лимитирована.","P1-151 | P1-105","backend/src/features/ships/build.ts | backend/src/features/ships/build.test.ts","Без shipyard → 400 | Слот верфи занят → 400 | Успех → возвращает ship с status=""building""","Integration-тест","—",""
"P1-171","EPIC-P1-SHP","","M","Worker: tick_ships","BullMQ воркер. Завершает постройку кораблей. Меняет status: building → idle, location_planet_id = where_built.","P1-170","backend/src/workers/tick-ships.ts","Корабль готов в срок | Уведомление в notifications","Integration-тест","—",""
"P1-180","EPIC-P1-EXP","","L","POST /expeditions — отправить корабль","Принимает {shipId, targetX, targetY, targetZ, fuelLoaded, cargoLoaded}. Проверяет: корабль idle, принадлежит игроку, на стартовой планете есть достаточно топлива и груза. Создаёт expedition, ставит ship.status=moving, рассчитывает eta.","P1-170 | P1-151","backend/src/features/expeditions/launch.ts | backend/src/features/expeditions/launch.test.ts","Корабль не idle → 400 | Не хватает топлива → 400 | eta = distance × 60 / speed × engine_factor | BullMQ job на eta запланирован","Integration-тест: запустить scout на 10 ед → видеть expedition с eta","—",""
"P1-181","EPIC-P1-EXP","","L","Worker: tick_expeditions","BullMQ воркер каждые 30 сек. Для всех in_flight expeditions: рассчитывает текущую позицию (linear interp), вызывает checkVisibility, если eta достигнут — переводит в ""arrived"" и стартует возврат (если scout/probe). При возврате — apply результат (planet discovery, cargo unload).","P1-180 | P1-144","backend/src/workers/tick-expeditions.ts | backend/src/workers/tick-expeditions.test.ts","Корабль ""движется"" во времени, видимость обновляется | По прибытии — discovered_planets обновляется (если visibility сработал) | Возвращается в стартовую планету (для scout/cargo-empty), eta удваивается","Integration-тест полного цикла scout → return","Самая сложная логика. Тестировать каждый кейс отдельно.",""
"P1-182","EPIC-P1-EXP","","M","POST /expeditions/jump — межсистемный прыжок","Особый эндпоинт для Jump Ship. Принимает {shipId, targetSector{x,y,z}}. Проверяет: ship.type = jump_ship, есть Jump Fuel в баке, Jump Drive исследован lvl 1+. Lazy-генерит сектор, выбирает целевую систему. После прибытия — добавляет в discovered_systems.","P1-180 | P1-143","backend/src/features/expeditions/jump.ts","Без Jump Drive → 400 | Не Jump Ship → 400 | Не хватает Jump Fuel → 400 | Успех → корабль попадает в общий пул","Integration-тест","См. addendum §3.5-§3.6.",""
"P1-200","EPIC-P1-FE","","M","API client + auth flow","frontend/src/lib/api.ts: единый клиент с автоматической передачей session token из Telegram WebApp SDK. React Query для всех запросов. Auth flow: при загрузке → POST /auth/telegram → сохранить token → GET /me.","P0-004 | P1-122","frontend/src/lib/api.ts | frontend/src/hooks/useAuth.ts | frontend/src/hooks/useMe.ts","При первом запуске игрок авторизован автоматически | Token хранится в memory (НЕ localStorage) | Все запросы автоматически шлют Authorization header","Открыть TMA → видеть данные игрока","Использовать @tanstack/react-query.",""
"P1-201","EPIC-P1-FE","","L","Главный экран: ресурсы + очередь стройки","Основной экран TMA: верх — плашка с балансом ресурсов (с регенерацией в реальном времени через requestAnimationFrame), середина — текущая фокус-планета (схема со зданиями), низ — таб-бар: Planets, Ships, Map, Tech, Profile.","P1-200","frontend/src/pages/Home.tsx | frontend/src/components/ResourceBar.tsx | frontend/src/components/PlanetView.tsx | frontend/src/components/BuildQueue.tsx","Ресурсы тикают в UI (анимированно увеличиваются) | Очередь стройки видна с countdown | Tap на здание → открывает деталь","UI matches описание","Тёмная тема, космический стиль. Tailwind + Lucide icons.",""
"P1-202","EPIC-P1-FE","","M","Экран планеты: слоты и апгрейды","Список зданий планеты + пустые слоты. Tap на слот → диалог выбора здания. Tap на existing → диалог апгрейда с показом стоимости.","P1-201 | P1-160 | P1-161","frontend/src/pages/PlanetDetail.tsx | frontend/src/components/BuildingSlot.tsx | frontend/src/components/UpgradeDialog.tsx","Видны все здания + пустые слоты | Стоимость апгрейда видна заранее | После постройки/апгрейда — оптимистичный UI с rollback при ошибке","Полный flow стройки шахты","—",""
"P1-203","EPIC-P1-FE","","M","Карта домашней системы","Top-down карта Home System на PixiJS. Звезда в центре, планеты на орбитах, открытые — с именами и ресурсами, неоткрытые — ""?"". Маркеры кораблей с траекториями.","P1-201","frontend/src/pages/SystemMap.tsx | frontend/src/components/pixi/SystemRenderer.tsx","Карта рендерится 60fps на mid-tier мобильных | Pan + pinch zoom | Tap на планету → переход на экран планеты","Открыть карту → видеть свою систему","PixiJS v8.",""
"P1-204","EPIC-P1-FE","","M","Экран кораблей + запуск экспедиции","Список кораблей с состоянием. Кнопка «Отправить» → диалог: выбор точки на мини-карте + загрузка топлива + ETA preview.","P1-203 | P1-180","frontend/src/pages/Ships.tsx | frontend/src/components/ExpeditionDialog.tsx","Видно все корабли | Можно запустить scout, видеть его на карте | ETA отсчитывается в реальном времени","Запустить scout → видеть в полёте на карте","—",""
"P1-205","EPIC-P1-FE","","M","Экран исследований (tech tree)","7 веток × 5 уровней. Tap на узел → диалог с деталями + кнопка start. Отображение прогресса.","P1-200 | P1-106","frontend/src/pages/Research.tsx | frontend/src/components/TechTreeNode.tsx","Все ветки видны | Можно начать исследование если хватает ресурсов и lab lvl | Прогресс таймера в реальном времени","Start research → ждать → done","—",""
"P1-206","EPIC-P1-FE","","M","Onboarding tutorial","5 шагов: Welcome → Build first mine → Build storage → Build scout → Send first expedition. Skipable, но ресурсы за выполнение.","P1-201 | P1-202 | P1-204","frontend/src/components/Tutorial.tsx | frontend/src/pages/onboarding/","Запускается на первом входе нового user | Можно скипнуть и вернуться позже | Награда (200 Fe + 100 H₂O) за прохождение","Создать нового user → пройти tutorial → получить награду","—",""
"P1-220","EPIC-P1-BOT","","M","Telegram bot webhook + /start","POST /tg/webhook принимает обновления от Telegram. Команда /start отвечает с inline-кнопкой ""Открыть New Universe"" → запуск Mini App.","P0-010","backend/src/features/bot/webhook.ts | backend/src/features/bot/commands.ts","Webhook настроен | /start работает | Кнопка открывает TMA","В Telegram: /start → видеть кнопку","—",""
"P1-221","EPIC-P1-BOT","","M","Push-уведомления о ключевых событиях","Сервис sendPush(userId, type, payload). Воркер раз в минуту берёт notifications из БД с pending=true и шлёт в Telegram. Для типов: building_done, ship_done, expedition_returned, research_done.","P1-220 | P1-162","backend/src/workers/notifications.ts | backend/src/features/bot/push.ts","После завершения постройки → пуш приходит в Telegram | Notification помечается sent_at | Соблюдается лимит 20 сообщений/мин на user","Построить здание → дождаться → пуш в Telegram","—",""
"P1-240","EPIC-P1-QA","","L","Integration test: full first-day flow","Один большой E2E-тест: создать user → home system сгенерирована → построить шахту → апгрейднуть → построить scout → запустить → дождаться возврата → открыть планету.","P1-181 | P1-162 | P1-171","backend/tests/e2e/first-day.test.ts","Тест проходит за < 30 сек (с ускоренным временем) | Покрывает основные ошибочные пути","`npm run test:e2e` зелёный","Использовать testcontainers если нужен изолированный Postgres.",""
"P1-241","EPIC-P1-QA","","M","Playwright E2E на frontend","Тест: открыть TMA с моком Telegram initData → пройти onboarding → построить шахту → проверить что ресурсы тикают.","P1-206","frontend/tests/e2e/onboarding.spec.ts","Тест проходит","`npx playwright test` зелёный","—",""
"P2-EPIC-COLONIZE","EPIC-P2-OUT","","XL","[Эпик] Колонизация и вторая планета","Колонизатор как корабль, развёртывание новой колонии в Common Pool, синхронизация ресурсов между планетами через Cargo.","P1-181","будут расписаны при разбиении эпика на микротаски","К концу Phase 2 игрок может иметь 2-3 колонии и перевозить груз","—","Разбить на ~10 микротасок при старте Phase 2.",""
"P2-EPIC-RESEARCH","EPIC-P2-OUT","","L","[Эпик] Research lvl 1-3 для всех веток","Полная имплементация tech-веток до 3 уровня + UI прогресса.","P1-205","—","Игрок может пройти любую ветку до lvl 3","—","—",""
"P3-EPIC-MULTIPLAYER-MAP","EPIC-P3-OUT","","XL","[Эпик] Multiplayer карта Common Pool","Видны другие игроки, их колонии, флоты. Глобальный поиск систем. Sector map UI.","P1-182","—","Игрок видит соседей в Sector Map","—","—",""
"P3-EPIC-ALLIANCES","EPIC-P3-OUT","","L","[Эпик] Альянсы (кланы)","Создание альянса, общий банк, чат, карта членов, объявления о войне.","P3-EPIC-MULTIPLAYER-MAP","—","Игроки могут объединяться в альянсы до 30 человек","—","—",""
"P2-COL-001","EPIC-P2-COL","","M","Colonies data model and ownership rules","Add the data model for player colonies outside the home system: colony identity, owner, planet binding, founding timestamp, active/inactive state, and limits per user.","P1-103 | P1-108","backend/src/db/schema/colonies.ts | backend/src/features/colonies/colonies.ts | backend/src/features/colonies/colonies.test.ts","A player can own multiple colonies linked to discovered planets | Home-system planet ownership is still protected from other players | Database constraints prevent duplicate colonies on the same planet for one owner | Migration is generated and reversible in local dev","Run colony model unit tests and inspect the generated migration in Postgres","This is the base contract for all Phase 2 colonization flows.",""
"P2-COL-002","EPIC-P2-COL","","L","Colonizer deployment flow","Implement the backend service and API for deploying a colonizer ship on an eligible discovered planet in the common pool.","P2-COL-001 | P1-170 | P1-182","backend/src/features/colonies/found-colony.ts | backend/src/routes/colonies.ts | backend/src/features/colonies/found-colony.test.ts","Only colonizer ships can found a colony | Target planet must be discovered by the player and outside protected foreign home systems | Ship is consumed or converted according to the GDD rule chosen in implementation notes | Founding creates a colony and a level 1 command center","API test: build colonizer, jump to discovered planet, found a colony, verify colony state","If GDD is ambiguous, prefer consuming the colonizer to avoid duplication exploits.",""
"P2-COL-003","EPIC-P2-COL","","M","Colony bootstrap economy","Define the starting resource, storage, and building state for a newly founded colony so it can become useful without breaking early-game balance.","P2-COL-002 | P1-150 | P1-160","backend/src/features/colonies/bootstrap.ts | backend/src/config/colony-bootstrap.ts | backend/src/features/colonies/bootstrap.test.ts","New colony starts with configured minimal storage and command center | No resource is created unless explicitly defined by bootstrap config | Bootstrap values are versioned and test-covered | Colony cannot immediately create infinite resource loops with home planet","Unit test creates a colony and asserts resource/storage/building state","Keep config centralized so balance can change without rewriting services.",""
